line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
99,35,468,286.0,1,4017.01
100,36,325,258.0,3,3082.63
101,36,437,243.0,4,2257.27
102,36,461,141.0,2,3771.3
103,36,785,225.0,4,2448.76
104,36,80,276.0,2,1210.74
105,37,142,109.0,1,1194.74
106,38,425,31.0,3,1687.86
107,39,853,10.0,3,1977.91
108,39,878,180.0,4,0.0
109,40,772,214.0,3,4274.57
110,40,552,249.0,4,4009.35
111,40,225,172.0,2,0.0
112,41,742,273.0,1,4210.5
113,41,28,42.0,3,2979.87
114,41,659,25.0,3,721.71
115,41,267,172.0,3,1670.4
116,42,285,9.0,3,1298.74
117,42,768,114.0,4,307.82
118,42,666,15.0,1,3917.1
119,42,973,78.0,1,0.0
120,43,130,111.0,3,3363.82
121,43,477,58.0,2,3846.15
122,44,988,159.0,2,0.0
123,44,590,38.0,3,2013.44
124,45,708,61.0,1,554.41
125,45,816,219.0,4,3924.04
126,45,678,6.0,2,391.34
127,45,870,185.0,3,4120.54
128,45,651,267.0,3,3551.18
129,46,631,137.0,4,3884.48
130,46,331,230.0,1,4162.12
131,46,250,172.0,3,2870.76
132,47,507,132.0,2,950.11
133,48,287,5.0,4,3520.86
134,48,530,250.0,1,473.78
135,48,569,251.0,1,3468.52
136,49,812,124.0,1,510.61
137,49,314,176.0,4,1876.65
138,49,436,138.0,4,1687.42
139,49,258,61.0,1,647.25
140,50,974,141.0,1,998.13
141,50,742,144.0,4,4884.2
142,50,103,154.0,1,1516.42
143,50,15,27.0,4,676.59
144,50,567,251.0,2,3502.22
145,51,894,225.0,1,2891.62
146,52,189,58.0,1,1299.77
147,52,842,27.0,1,2033.5
148,52,156,43.0,1,4065.15
149,53,122,115.0,4,3834.0
150,53,795,152.0,4,1932.87
151,54,440,50.0,2,2864.72
152,54,971,41.0,1,3146.3
153,54,161,1.0,1,910.38
154,54,419,16.0,3,3462.39
155,54,238,232.0,2,3549.43
156,55,704,101.0,1,4623.36
157,56,118,136.0,4,1162.81
158,56,847,157.0,1,403.48
159,56,610,239.0,4,4609.9
160,56,706,256.0,2,3513.68
161,57,506,221.0,3,0.0
162,57,753,117.0,2,0.0
163,57,985,137.0,4,0.0
164,57,591,265.0,1,3827.39
165,57,668,299.0,3,4584.56
166,58,651,209.0,3,4846.82
167,58,342,168.0,2,3367.16
168,58,422,281.0,3,1476.68
169,58,38,59.0,3,485.9
170,59,886,277.0,4,0.0
171,59,474,255.0,3,318.31
172,59,641,281.0,3,3811.95
173,59,135,62.0,2,2218.67
174,60,997,159.0,4,4006.6
175,61,15,58.0,4,2069.55
176,61,473,149.0,1,3256.16
177,61,522,241.0,2,2106.68
178,61,250,260.0,3,2778.76
179,61,765,212.0,1,4326.93
180,62,957,152.0,4,0.0
181,62,858,76.0,4,2920.62
182,62,458,278.0,4,2447.49
183,63,467,122.0,2,4354.53
184,63,586,22.0,3,1206.13
185,63,326,197.0,3,3540.88
186,63,680,257.0,1,0.0
187,64,340,269.0,1,4377.24
188,64,933,79.0,3,125.97
189,64,77,203.0,3,3918.55
190,64,666,273.0,1,4266.24
191,64,390,249.0,2,3152.66
192,65,37,147.0,4,388.68
193,65,233,51.0,1,2198.16
194,65,455,23.0,1,3485.31
195,65,333,74.0,1,1502.17
196,65,251,92.0,4,2089.66
197,66,180,123.0,1,3066.98
198,66,510,130.0,4,758.43
199,67,262,147.0,1,4499.6
200,67,694,176.0,4,831.98
201,67,602,128.0,2,3212.75
202,67,468,247.0,2,1036.12
203,68,243,151.0,3,2881.02
204,69,850,25.0,3,1408.68
205,70,764,117.0,3,4172.55
206,70,622,128.0,2,1134.07
207,70,695,20.0,1,3159.83
208,70,317,67.0,3,215.15
209,70,93,102.0,2,1667.26
210,71,806,256.0,4,4388.48
211,71,936,246.0,2,4160.84
212,72,765,38.0,2,4030.95
213,72,145,203.0,1,4307.7
214,72,991,7.0,4,1860.59
215,73,550,134.0,1,2301.19
216,73,599,55.0,3,4120.97
217,73,692,287.0,1,2383.81
218,74,938,237.0,4,1145.77
219,74,932,23.0,2,3263.74
220,74,969,49.0,1,1556.6
221,75,909,276.0,4,721.54
222,75,430,212.0,4,3724.23
223,76,854,143.0,3,3097.48
224,77,707,120.0,2,1125.48
225,78,102,183.0,2,2745.11
226,78,63,232.0,3,1415.61
227,78,94,10.0,1,3226.44
228,79,806,289.0,2,1255.67
229,80,71,119.0,4,1075.43
230,80,337,141.0,1,3953.79
231,81,134,13.0,4,1290.74
232,81,135,165.0,1,1823.3
233,82,179,269.0,2,309.38
234,83,764,262.0,1,2407.42
235,84,112,22.0,3,2544.0
236,84,745,15.0,4,1543.07
237,84,63,55.0,3,4244.13
238,84,503,75.0,3,413.78
239,84,68,280.0,1,1411.33
240,85,391,220.0,4,2676.26
241,85,102,282.0,1,4271.32
242,85,739,211.0,1,2178.85
243,86,848,160.0,3,2023.71
244,86,438,78.0,2,3342.28
245,86,704,47.0,3,382.31
246,87,99,300.0,2,4068.26
247,87,980,210.0,4,2830.33
248,87,363,147.0,3,4347.06
249,87,615,108.0,2,1790.65
250,88,673,284.0,3,1160.01
251,88,377,219.0,1,3824.9
252,89,998,13.0,4,3087.19
253,89,624,158.0,2,193.32
254,89,944,73.0,2,1787.57
255,89,580,15.0,3,394.45
256,89,94,174.0,4,1114.91
257,90,379,290.0,2,3621.9
258,90,611,25.0,1,4422.54
259,91,279,226.0,3,3326.6
260,92,280,220.0,1,3786.97
261,92,114,269.0,2,3407.18
262,92,684,28.0,2,274.82
263,92,8,70.0,1,1542.03
264,93,297,220.0,2,643.92
265,93,180,256.0,1,1932.03
266,93,573,21.0,2,406.77
267,94,20,294.0,3,4609.75
268,94,440,148.0,4,2051.89
269,94,118,235.0,3,153.24
270,94,852,124.0,2,486.24
271,95,604,158.0,3,2643.61
272,95,764,39.0,2,1146.78
273,95,523,178.0,1,2676.49
274,95,360,101.0,1,1219.53
275,96,617,90.0,1,3813.07
276,96,975,296.0,3,2346.57
277,97,698,165.0,4,3232.81
278,97,885,226.0,2,797.24
279,97,647,180.0,2,3991.83
280,97,520,29.0,1,1586.52
281,98,852,46.0,2,429.82
282,98,630,283.0,4,2559.99
283,98,978,96.0,1,2276.18
284,99,620,230.0,3,2531.77
285,99,106,88.0,2,4912.81
286,99,41,268.0,1,3552.73
287,100,625,198.0,1,1851.29
288,100,419,171.0,2,3410.54
289,100,68,145.0,2,517.8
290,100,259,298.0,4,4372.73
291,100,680,200.0,1,4587.89
292,101,610,168.0,1,1582.43
293,101,833,269.0,1,3367.08
294,102,662,158.0,3,0.0
295,103,974,98.0,1,1741.58
296,103,232,51.0,1,816.98
297,104,790,19.0,4,4183.84
298,104,678,192.0,2,4388.14
299,104,158,84.0,1,945.19
300,104,739,121.0,3,266.28
301,104,993,229.0,3,3072.45
302,105,547,240.0,1,1581.87
303,105,926,225.0,1,1870.81
304,106,788,214.0,2,3901.71
305,106,990,70.0,1,4093.61
306,106,894,190.0,2,308.29
307,106,568,63.0,1,3571.43
308,107,86,75.0,1,1400.32
309,107,851,230.0,3,503.98
310,107,906,202.0,2,4655.84
311,108,383,114.0,1,1961.52
312,108,29,171.0,2,4657.59
313,108,811,241.0,1,731.12
314,108,713,2.0,1,3806.26
315,108,928,76.0,1,144.07
316,109,963,147.0,4,2662.47
317,109,244,234.0,2,653.15
318,109,65,274.0,1,4191.6
319,109,17,149.0,4,2896.48
320,109,440,213.0,1,3093.31
321,110,681,269.0,1,2641.25
322,110,558,10.0,4,3942.74
323,111,895,191.0,3,265.5
324,111,260,123.0,1,1817.61
325,111,751,170.0,1,3868.93
326,111,137,89.0,1,1793.88
327,112,713,32.0,3,3177.09
328,112,734,102.0,3,233.07
329,112,908,203.0,1,1612.2
330,112,835,97.0,4,0.0
331,113,366,63.0,1,4335.7
332,113,819,225.0,2,2212.91
333,113,917,254.0,3,1728.23
334,114,947,217.0,4,1370.27
335,114,81,279.0,3,3032.14
336,114,301,151.0,2,557.86
337,115,457,227.0,4,3602.43
338,115,360,180.0,3,259.66
339,115,630,29.0,3,1409.05
340,116,688,81.0,3,1848.39
341,117,147,64.0,4,3406.54
342,118,242,16.0,2,1842.65
343,119,158,39.0,3,4746.68
344,119,588,142.0,1,2670.83
345,119,256,265.0,1,178.27
346,119,397,228.0,4,632.92
347,119,220,251.0,4,1463.61
348,120,126,227.0,1,4271.49
349,120,90,281.0,2,3355.81
350,121,298,89.0,2,4264.24
351,121,813,102.0,2,2568.34
352,121,812,184.0,1,1221.84
353,121,568,282.0,4,1876.11
354,121,133,203.0,4,4427.02
355,122,539,37.0,3,3857.36
356,122,129,264.0,2,3229.58
357,122,353,300.0,1,4395.9
358,122,187,28.0,1,2191.46
359,123,531,115.0,1,1555.42
360,124,971,128.0,4,4479.88
361,124,202,273.0,4,1408.53
362,124,96,297.0,4,3222.89
363,125,176,288.0,4,3617.13
364,125,43,295.0,1,452.05
365,126,667,15.0,1,3846.45
366,126,510,247.0,4,1483.87
367,126,251,30.0,3,1522.3
368,127,451,73.0,3,2447.04
369,127,321,204.0,2,3684.29
370,128,779,123.0,2,2599.15
371,128,478,49.0,1,1373.98
372,129,298,81.0,3,4327.61
373,130,957,81.0,4,3619.59
374,130,511,254.0,4,2360.73
375,130,24,123.0,1,4728.9
376,131,598,240.0,2,290.86
377,131,293,68.0,4,90.48
378,132,745,205.0,2,3831.09
379,132,53,147.0,4,2830.99
380,132,76,143.0,3,2546.06
381,133,697,201.0,4,638.11
382,133,383,73.0,2,2811.27
383,133,204,23.0,4,2570.16
384,133,40,265.0,1,3582.28
385,133,468,167.0,1,3050.99
386,134,327,153.0,1,1995.13
387,134,608,250.0,2,2561.21
388,134,726,188.0,4,1533.96
389,134,340,13.0,1,4900.5
390,134,612,296.0,3,1364.38
391,135,234,194.0,1,2938.44
392,135,152,56.0,1,206.27
393,135,196,211.0,1,2233.14
394,135,708,241.0,1,2081.37
395,135,894,287.0,1,3543.59
396,136,679,88.0,3,2651.11
397,136,471,135.0,4,1744.52
398,136,625,285.0,3,1001.71
399,137,231,250.0,2,3867.31
400,137,325,140.0,3,1776.58
401,137,295,202.0,1,2888.71
402,138,978,40.0,1,1487.74
403,138,355,109.0,3,3297.06
404,138,207,139.0,4,1392.11
405,139,112,25.0,4,3717.41
406,139,686,51.0,4,1167.07
407,140,339,2.0,3,547.7
408,140,988,243.0,4,4890.66
409,140,489,146.0,1,3791.76
410,140,662,293.0,1,4544.29
411,141,548,90.0,1,4570.49
412,141,957,253.0,1,4986.0
413,142,960,290.0,2,0.0
414,142,618,232.0,1,4645.85
415,143,537,258.0,3,4451.84
416,143,480,83.0,2,1004.42
417,143,749,7.0,3,3259.01
418,143,755,98.0,2,3964.3
419,143,180,218.0,4,4287.93
420,144,336,71.0,1,2034.12
421,144,489,196.0,2,0.0
422,144,242,154.0,3,3781.1
423,144,597,120.0,4,106.61
424,144,64,257.0,1,2353.71
425,145,707,188.0,1,3211.62
426,145,630,78.0,1,1134.69
427,145,466,241.0,4,1899.44
428,146,822,41.0,1,3821.21
429,146,539,288.0,3,2664.46
430,146,115,103.0,1,4152.43
431,146,587,266.0,4,791.77
432,146,453,250.0,1,3417.46
433,147,921,67.0,4,2255.14
434,148,426,157.0,3,2841.36
435,148,741,111.0,1,2009.95
436,148,593,32.0,1,274.18
437,148,555,241.0,1,4676.18
438,148,33,215.0,2,2073.89
439,149,913,193.0,3,2270.26
440,149,385,276.0,1,3429.52
441,149,137,201.0,2,637.23
442,150,131,152.0,1,4182.37
443,150,475,117.0,4,2149.43
444,150,254,57.0,3,1763.49
445,150,33,8.0,3,3093.87
446,150,247,228.0,1,383.09
447,151,689,224.0,1,1261.43
448,151,240,28.0,4,1125.48
449,151,144,294.0,4,4967.74
450,151,327,164.0,4,3009.69
451,151,243,266.0,2,4387.48
452,152,424,89.0,2,1412.01
453,152,642,176.0,3,2801.46
454,153,805,76.0,4,1627.74
455,153,308,123.0,3,960.2
456,153,870,237.0,1,1538.65
457,153,937,285.0,1,2833.81
458,154,138,40.0,3,1252.15
459,154,945,97.0,3,4243.31
460,154,53,20.0,2,1916.98
461,154,895,286.0,1,981.41
462,154,223,155.0,3,1084.0
463,155,217,245.0,1,4812.28
464,156,713,122.0,4,3533.65
465,156,566,273.0,2,3888.79
466,157,316,238.0,2,1830.24
467,157,101,104.0,3,3820.06
468,157,380,113.0,2,2098.95
469,158,17,213.0,2,2788.89
470,158,303,291.0,1,1021.15
471,159,512,131.0,4,3290.31
472,159,782,251.0,3,4834.22
473,160,173,250.0,2,887.87
474,160,189,268.0,4,4952.1
475,160,35,3.0,1,4728.68
476,160,423,77.0,1,4220.6
477,161,224,247.0,4,2307.25
478,162,17,8.0,1,2684.45
479,162,543,257.0,2,2701.9
480,162,833,54.0,3,4040.53
481,162,941,269.0,1,2645.71
482,163,835,191.0,2,1373.26
483,163,983,115.0,3,2322.04
484,163,308,16.0,1,3285.99
485,164,416,4.0,3,1916.99
486,165,85,169.0,3,4234.38
487,165,580,117.0,1,4479.22
488,166,923,38.0,4,2403.73
489,166,701,16.0,2,4501.59
490,167,952,73.0,2,127.51
491,167,771,288.0,3,4647.93
492,168,581,196.0,3,3401.32
493,168,774,40.0,1,3962.97
494,169,764,38.0,2,315.8
495,169,349,203.0,4,3856.58
496,169,993,230.0,2,196.65
497,169,503,221.0,1,1811.27
498,169,191,151.0,4,3320.33
499,170,731,78.0,1,456.09
500,170,758,2.0,3,1617.56
501,171,456,44.0,2,3818.67
502,171,192,208.0,3,2271.78
503,171,106,166.0,1,493.61
504,172,13,286.0,2,2098.36
505,172,927,194.0,1,2881.2
506,172,174,74.0,1,1381.15
507,172,65,247.0,1,2201.65
508,173,370,253.0,2,4723.9
509,174,632,3.0,1,2316.42
510,174,972,168.0,3,1694.48
511,174,451,69.0,2,2181.55
512,174,308,245.0,2,3035.9
513,174,322,149.0,1,4824.64
514,175,991,143.0,4,3920.77
515,175,837,102.0,3,1856.83
516,175,607,13.0,4,940.64
517,175,976,149.0,3,4717.73
518,176,839,155.0,3,3381.24
519,177,259,37.0,1,3590.42
520,177,460,259.0,4,2422.21
521,178,557,274.0,1,3964.07
522,178,609,181.0,1,591.38
523,178,171,204.0,4,269.27
524,178,991,5.0,2,4830.3
525,179,265,297.0,1,2577.85
526,180,227,256.0,3,1901.89
527,180,155,151.0,2,4988.63
528,180,426,72.0,1,624.54
529,180,357,266.0,2,1748.18
530,180,495,231.0,2,2407.0
531,181,69,11.0,2,271.18
532,181,870,84.0,2,3257.45
533,181,953,169.0,1,2604.17
534,182,437,94.0,3,1197.68
535,182,191,101.0,3,2008.13
536,182,461,109.0,4,0.0
537,182,211,32.0,2,3774.01
538,182,592,187.0,1,4007.54
539,183,202,250.0,3,614.08
540,183,541,300.0,2,3005.01
541,183,117,88.0,2,1792.33
542,184,941,160.0,4,2971.33
543,184,121,72.0,1,1561.63
544,184,524,196.0,3,2120.28
545,185,191,88.0,3,3195.73
546,185,569,161.0,1,2473.73
547,185,863,4.0,3,3116.08
548,185,497,287.0,1,1015.89
549,186,669,227.0,3,2075.22
550,186,501,112.0,1,0.0
551,186,300,86.0,1,1410.52
552,186,800,253.0,3,2849.97
553,186,563,278.0,4,610.39
554,187,556,111.0,1,3812.02
555,187,436,126.0,1,3693.14
556,187,305,44.0,1,2276.18
557,188,887,179.0,1,3889.38
558,188,882,71.0,4,3182.21
559,188,804,291.0,1,4076.97
560,188,360,165.0,4,1441.37
561,189,297,48.0,4,1373.35
562,189,139,64.0,3,4597.91
563,189,719,126.0,1,1285.9
564,190,502,212.0,1,2908.26
565,190,385,47.0,3,423.81
566,190,413,188.0,4,3761.52
567,190,466,47.0,3,0.0
568,191,651,203.0,2,4258.03
569,191,224,165.0,3,4133.0
570,191,849,289.0,2,1721.89
571,191,873,24.0,3,3952.1
572,192,102,80.0,3,130.59
573,193,468,67.0,1,4959.6
574,193,904,140.0,2,836.94
575,193,96,84.0,2,1289.43
576,193,54,119.0,3,3146.74
577,194,672,244.0,1,0.0
578,194,80,227.0,1,2988.71
579,194,10,216.0,1,3493.21
580,194,711,45.0,1,2414.62
581,195,106,195.0,2,1869.43
582,196,657,84.0,1,388.64
583,196,451,77.0,2,3626.04
584,197,631,51.0,3,4306.81
585,197,144,219.0,1,2968.39
586,197,323,127.0,1,1276.54
587,197,567,13.0,4,3020.04
588,198,211,200.0,4,3054.29
589,198,303,122.0,1,3929.82
590,198,507,36.0,3,608.08
591,199,911,67.0,1,4935.07
592,199,397,88.0,4,2133.27
593,199,782,8.0,3,4774.54
594,199,602,30.0,1,118.28
595,199,972,256.0,3,2557.72
596,200,434,78.0,3,458.02
597,200,285,104.0,1,1584.04
598,200,998,33.0,1,2705.13
599,200,318,29.0,3,3663.29
600,201,89,28.0,3,624.13
601,201,317,5.0,1,641.24
602,202,509,132.0,2,2638.88
603,202,171,137.0,2,678.31
604,203,790,268.0,1,1708.3
605,204,270,261.0,4,3156.29
606,205,57,80.0,3,4303.83
607,205,262,59.0,1,4476.63
608,205,234,6.0,4,62.71
609,206,48,91.0,3,1851.68
610,206,954,214.0,1,2786.68
611,207,330,138.0,1,2110.47
612,207,846,26.0,1,2879.1
613,208,229,35.0,4,4908.0
614,208,899,159.0,3,4336.86
615,209,89,149.0,4,2310.89
616,209,578,188.0,2,3710.9
617,209,606,279.0,3,4989.05
618,210,155,277.0,1,0.0
619,210,355,192.0,1,0.0
620,211,107,251.0,1,2672.58
621,211,985,143.0,1,4864.17
622,211,96,266.0,1,4610.31
623,212,718,297.0,2,2319.37
624,212,98,38.0,4,710.89
625,212,607,66.0,4,358.3
626,212,243,201.0,2,1341.91
627,213,326,103.0,3,1396.18
628,213,140,230.0,4,589.42
629,213,478,106.0,2,2062.24
630,214,316,80.0,3,1361.79
631,214,827,20.0,2,4140.61
632,214,221,182.0,2,784.2
633,214,406,89.0,4,292.31
634,215,975,281.0,3,4280.28
635,216,97,62.0,3,554.44
636,216,13,66.0,1,4160.34
637,217,844,43.0,3,1892.59
638,217,597,11.0,4,1331.16
639,218,203,169.0,3,4056.03
640,219,44,221.0,3,300.66
641,220,509,181.0,1,1944.51
642,220,220,76.0,1,1411.16
643,220,36,151.0,4,3114.92
644,220,511,44.0,3,4419.75
645,221,393,269.0,1,2125.21
646,221,256,183.0,4,3984.49
647,221,492,289.0,4,3918.1
648,222,330,112.0,3,0.0
649,222,31,271.0,2,340.03
650,222,367,51.0,4,4998.05
651,222,254,28.0,1,1369.31
652,222,783,198.0,1,2899.68
653,223,958,183.0,1,921.7
654,223,936,290.0,4,189.62
655,223,578,252.0,1,2837.39
656,224,317,119.0,1,2477.66
657,224,617,169.0,1,148.64
658,224,940,90.0,4,1047.25
659,224,941,72.0,2,344.8
660,224,793,37.0,1,4240.08
661,225,722,165.0,3,2950.78
662,225,140,249.0,1,3675.14
663,225,665,182.0,2,912.3
664,226,682,150.0,4,4081.55
665,226,131,293.0,1,3657.71
666,227,872,113.0,4,210.29
667,227,655,169.0,4,565.35
668,227,764,85.0,1,1228.08
669,227,652,171.0,1,4117.23
670,228,12,179.0,2,1087.94
671,228,263,224.0,1,3616.05
672,228,751,252.0,3,4847.05
673,228,903,245.0,3,1788.59
674,229,667,17.0,1,855.15
675,229,302,37.0,1,1627.65
676,229,351,38.0,1,4445.26
677,229,561,247.0,1,1722.86
678,229,722,222.0,1,2185.05
679,230,55,209.0,1,1688.92
680,230,714,135.0,4,3624.09
681,231,305,281.0,1,524.78
682,231,861,218.0,3,810.27
683,231,90,245.0,2,4128.29
684,232,100,41.0,1,1074.42
685,232,485,250.0,1,1576.35
686,233,94,195.0,4,1968.26
687,233,379,238.0,1,2256.59
688,233,270,77.0,1,4193.54
689,234,88,116.0,2,4050.49
690,235,63,274.0,3,4101.11
691,235,704,153.0,3,2884.94
692,235,81,257.0,3,4518.75
693,235,585,75.0,4,4012.23
694,235,124,108.0,3,905.75
695,236,130,222.0,1,2145.71
696,236,207,34.0,1,4178.84
697,237,398,141.0,4,2016.91
698,238,470,267.0,1,3943.43
699,238,801,290.0,3,606.97
700,238,603,54.0,4,3803.97
701,238,577,176.0,1,3939.44
702,238,899,292.0,3,1357.48
703,239,485,205.0,1,902.39
704,239,40,121.0,3,4453.39
705,239,51,10.0,3,4608.13
706,239,346,50.0,2,1589.2
707,239,996,226.0,1,715.21
708,240,276,226.0,3,3044.65
709,240,217,191.0,3,3717.68
710,240,841,159.0,1,2600.59
711,241,414,291.0,1,3913.56
712,241,30,29.0,1,1004.18
713,241,256,101.0,1,2309.42
714,241,281,63.0,2,4126.36
715,241,698,228.0,1,1247.59
716,242,984,83.0,3,2955.06
717,242,858,145.0,2,3757.36
718,243,396,109.0,1,856.39
719,244,663,209.0,1,3404.59
720,244,526,4.0,1,4329.92
721,245,934,4.0,1,3254.49
722,245,230,140.0,2,3061.3
723,245,434,111.0,3,4265.35
724,245,478,203.0,2,3402.12
725,246,105,191.0,1,2581.99
726,246,575,55.0,4,3064.8
727,246,494,166.0,1,1714.6
728,246,883,152.0,2,1342.68
729,246,193,29.0,1,2610.6
730,247,414,254.0,2,3419.74
731,247,303,18.0,2,4539.21
732,247,598,113.0,4,4089.27
733,247,703,183.0,4,3209.65
734,247,520,285.0,2,4234.83
735,248,301,286.0,1,2380.37
736,248,782,45.0,1,4737.27
737,249,364,169.0,1,3733.84
738,249,381,60.0,2,2948.57
739,250,55,241.0,4,2922.55
740,250,911,195.0,1,2527.36
741,250,543,77.0,2,2094.88
742,250,141,234.0,1,1746.22
743,251,324,90.0,1,3905.76
744,251,321,86.0,1,73.33
745,252,783,45.0,1,2473.41
746,252,133,219.0,4,2196.87
747,252,989,102.0,3,0.0
748,252,749,271.0,2,4752.84
749,252,196,127.0,1,3399.9
750,253,711,257.0,2,1594.86
751,253,603,152.0,2,876.75
752,254,467,68.0,4,3002.03
753,254,351,206.0,3,1828.29
754,254,20,108.0,1,1160.39
755,255,604,19.0,4,886.47
756,256,898,24.0,2,3867.69
757,256,678,59.0,1,0.0
758,256,427,242.0,3,1932.26
759,256,719,4.0,1,1067.2
760,257,431,70.0,1,3329.29
761,257,429,144.0,1,2582.34
762,257,117,134.0,1,2513.81
763,258,997,82.0,1,1821.71
764,258,41,246.0,4,2506.96
765,258,339,56.0,1,63.55
766,258,856,46.0,4,3361.66
767,258,799,131.0,4,421.49
768,259,468,89.0,2,1357.42
769,259,896,160.0,1,4268.63
770,260,757,23.0,1,520.24
771,260,10,183.0,1,3333.61
772,260,916,47.0,3,4777.69
773,260,382,233.0,2,955.2
774,261,856,215.0,3,3465.02
775,261,665,30.0,1,609.63
776,261,966,247.0,1,563.38
777,262,695,183.0,3,947.24
778,262,627,66.0,1,4319.75
779,262,495,23.0,3,609.04
780,262,65,268.0,2,0.0
781,262,786,173.0,4,3632.68
782,263,536,127.0,4,521.45
783,263,494,76.0,2,3335.37
784,263,860,5.0,4,4465.71
785,263,659,253.0,1,2552.56
786,263,891,123.0,1,420.58
787,264,994,193.0,2,299.24
788,264,413,293.0,1,440.21
789,264,459,60.0,1,4290.12
790,265,764,285.0,1,558.08
791,265,563,155.0,1,4138.25
792,265,912,233.0,4,2833.55
793,265,974,114.0,2,1848.55
794,266,340,186.0,4,3848.71
795,266,734,113.0,3,614.42
796,266,3,149.0,2,1807.94
797,266,561,84.0,4,1900.76
798,267,144,96.0,3,579.46
799,267,124,97.0,3,1117.17
800,267,734,63.0,2,583.44
801,267,791,258.0,3,2314.07
802,268,987,283.0,3,71.47
803,268,958,260.0,3,4202.14
804,269,709,53.0,4,909.57
805,269,397,196.0,4,3050.5
806,270,624,150.0,1,1404.3
807,270,464,262.0,1,733.99
808,270,307,283.0,4,4310.5
809,270,648,148.0,1,1044.4
810,271,944,91.0,1,4907.61
811,271,516,59.0,4,3486.84
812,271,780,213.0,2,2833.29
813,272,293,12.0,3,4051.11
814,272,391,136.0,1,312.67
815,272,769,74.0,1,4918.49
816,272,860,277.0,1,3468.44
817,272,34,287.0,2,4079.43
818,273,761,147.0,4,1974.99
819,273,710,160.0,1,4636.1
820,274,56,226.0,1,3731.17
821,274,850,188.0,1,4561.86
822,274,774,99.0,4,2755.74
823,274,302,95.0,3,928.26
824,274,986,20.0,1,3688.64
825,275,286,130.0,4,1357.99
826,275,6,20.0,2,2358.34
827,275,158,154.0,2,3004.56
828,275,503,162.0,4,2773.29
829,276,226,81.0,1,2627.0
